id,Titolo ,Raccomandazioni (**) ,"Capital MLN € "
186,Grandi Viaggi,BUY,41
187,Pierrel,BUY,41
188,Borgosesia,,40
,Ordinarie,BUY,40
,Risparmio n.c.,-,
189,PLC,BUY,38
190,Next Re Siiq,-,37
191,Triboo,BUY,32
192,Sole 24 Ore,BUY,30
193,Algowatt,BUY,30
194,Mondo TV,BUY,29
195,Eukedos,-,28
196,Giglio Group,-,25
197,Class,-,23
198,Eems,-,20
199,Caleffi,-,18
200,LVenture Group,-,17
201,It Way,-,16
202,Csp Int.,-,16
203,Conafi,-,16
204,Fidia,-,10
205,Softlab,-,10
206,Zucchi,,10
,Ordinarie,-,10
,Risparmio n.c.,-,
207,Restart,-,9
208,Beewize,-,8
209,Netweek,-,6
210,ePRICE,-,5
211,Met.Extra Group,-,2
212,Gequity,-,1
213,Bioera,-,1
214,Rosss,-,0
215,Biancamano,-,0
216,Abitare In,,0
,Ordinarie,BUY,
,Ordinarie,-,
217,Centrale Latte Italia,SBUY,0
218,Vianini,-,0
219,Atlantia,-,0
220,B.ca Carige,,0
,Ordinarie,-,
,Risparmio,-,
221,Cia,-,0
222,Olidata,-,0
223,BE,-,0
224,Exor,-,0
225,Chl,-,0
226,Monrif,-,0
227,ASTM,-,0
228,B. Finnat,-,0
229,A.S. Roma,-,0
230,NB Aurora,-,0
232,Sicit,-,0
